Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,Food Balance Sheets,116,Democratic People's Republic of Korea,5611,Import Quantity,2546,Beans,2013,2013,1000 tonnes,0,S,Standardized data
FBS,Food Balance Sheets,116,Democratic People's Republic of Korea,5911,Export Quantity,2546,Beans,2013,2013,1000 tonnes,1,S,Standardized data
FBS,Food Balance Sheets,116,Democratic People's Republic of Korea,5301,Domestic supply quantity,2546,Beans,2013,2013,1000 tonnes,309,S,Standardized data
FBS,Food Balance Sheets,116,Democratic People's Republic of Korea,5611,Import Quantity,2549,"Pulses, Other and products",2013,2013,1000 tonnes,0,S,Standardized data
FBS,Food Balance Sheets,116,Democratic People's Republic of Korea,5301,Domestic supply quantity,2549,"Pulses, Other and products",2013,2013,1000 tonnes,0,S,Standardized data
FBS,Food Balance Sheets,116,Democratic People's Republic of Korea,5511,Production,2551,Nuts and products,2013,2013,1000 tonnes,22,S,Standardized data
FBS,Food Balance Sheets,116,Democratic People's Republic of Korea,5911,Export Quantity,2551,Nuts and products,2013,2013,1000 tonnes,5,S,Standardized data
FBS,Food Balance Sheets,116,Democratic People's Republic of Korea,5301,Domestic supply quantity,2551,Nuts and products,2013,2013,1000 tonnes,17,S,Standardized data
FBS,Food Balance Sheets,116,Democratic People's Republic of Korea,5511,Production,2555,Soyabeans,2013,2013,1000 tonnes,340,S,Standardized data
FBS,Food Balance Sheets,116,Democratic People's Republic of Korea,5611,Import Quantity,2555,Soyabeans,2013,2013,1000 tonnes,20,S,Standardized data
FBS,Food Balance Sheets,116,Democratic People's Republic of Korea,5911,Export Quantity,2555,Soyabeans,2013,2013,1000 tonnes,0,S,Standardized data
FBS,Food Balance Sheets,116,Democratic People's Republic of Korea,5301,Domestic supply quantity,2555,Soyabeans,2013,2013,1000 tonnes,360,S,Standardized data
FBS,Food Balance Sheets,116,Democratic People's Republic of Korea,5611,Import Quantity,2578,Coconut Oil,2013,2013,1000 tonnes,0,S,Standardized data
FBS,Food Balance Sheets,116,Democratic People's Republic of Korea,5301,Domestic supply quantity,2578,Coconut Oil,2013,2013,1000 tonnes,0,S,Standardized data
FBS,Food Balance Sheets,116,Democratic People's Republic of Korea,5511,Production,2601,Tomatoes and products,2013,2013,1000 tonnes,66,S,Standardized data
FBS,Food Balance Sheets,116,Democratic People's Republic of Korea,5611,Import Quantity,2601,Tomatoes and products,2013,2013,1000 tonnes,0,S,Standardized data
FBS,Food Balance Sheets,116,Democratic People's Republic of Korea,5911,Export Quantity,2601,Tomatoes and products,2013,2013,1000 tonnes,0,S,Standardized data
FBS,Food Balance Sheets,116,Democratic People's Republic of Korea,5301,Domestic supply quantity,2601,Tomatoes and products,2013,2013,1000 tonnes,66,S,Standardized data
FBS,Food Balance Sheets,116,Democratic People's Republic of Korea,5511,Production,2602,Onions,2013,2013,1000 tonnes,86,S,Standardized data
FBS,Food Balance Sheets,116,Democratic People's Republic of Korea,5301,Domestic supply quantity,2602,Onions,2013,2013,1000 tonnes,86,S,Standardized data
FBS,Food Balance Sheets,116,Democratic People's Republic of Korea,5511,Production,2605,"Vegetables, Other",2013,2013,1000 tonnes,3346,S,Standardized data
FBS,Food Balance Sheets,116,Democratic People's Republic of Korea,5911,Export Quantity,2605,"Vegetables, Other",2013,2013,1000 tonnes,0,S,Standardized data
FBS,Food Balance Sheets,116,Democratic People's Republic of Korea,5301,Domestic supply quantity,2605,"Vegetables, Other",2013,2013,1000 tonnes,3346,S,Standardized data
FBS,Food Balance Sheets,116,Democratic People's Republic of Korea,5511,Production,2625,"Fruits, Other",2013,2013,1000 tonnes,798,S,Standardized data
FBS,Food Balance Sheets,116,Democratic People's Republic of Korea,5301,Domestic supply quantity,2625,"Fruits, Other",2013,2013,1000 tonnes,798,S,Standardized data
FBS,Food Balance Sheets,116,Democratic People's Republic of Korea,5611,Import Quantity,2640,Pepper,2013,2013,1000 tonnes,0,S,Standardized data
